Name,Id,Default_unit,Alternative name,Portions,Stocks,shopping list info,Pasted field 1,Pasted field 2,Pasted field 3,Pasted field 4,Pasted field 5,Default ingredient units
American cheese,2,,,53,,gr,110,160,180,,https://www.ocado.com/search?entry=american%20cheese,American cheese
Anchovy,3,,,41,,gr,50,80,100,,https://www.ocado.com/search?entry=anchovy,Anchovy
Apple,132,,,"205,240",,pcs,4,6,7,,https://www.ocado.com/search?entry=apples,Apple
Apple cider vingear,4,,,229,,ml,350,500,1000,,https://www.ocado.com/search?entry=apple%20cider%20vinegar,Apple cider vingear
Arugula salad,5,,rocket,120,,gr,70,90,110,,https://www.ocado.com/search?entry=Arugula%20salad,Arugula salad
Asparagus,6,,,28,,gr,160,250,350,,https://www.ocado.com/search?entry=asparagus,Asparagus
Avocado,7,,,34,,pcs,1,2,3,,https://www.ocado.com/search?entry=avocado,Avocado
Baby bets,8,,Beetroot,127,,gr,200,250,340,,https://www.ocado.com/search?entry=baby%20beets,Baby bets
Bacon,9,,,46,,gr,200,250,300,,https://www.ocado.com/search?entry=bacon,Bacon
Baking soda,10,,,"63,257",,gr,42,200,500,,https://www.ocado.com/search?entry=baking%20soda,"Baking soda,Baking Soda"
Basil,11,,,"110,37,245",,gr,25,30,100,,https://www.ocado.com/search?entry=basil,Basil
Bay leaves,12,,,"98,85",,gr,4,5,6,,https://www.ocado.com/search?entry=bay%20leaves,Bay leaves
Beef broth,13,,,185,,ml,300,400,500,,https://www.ocado.com/search?entry=beef%20broth,Beef broth
Beef Mince,137,,,243,,,,,,,,Beef Mince
Bell Pepper (Green),139,,Capsicum,162,,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Green)
Bell Pepper (Orange),138,,Capsicum,162,,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Orange)
Bell Pepper (Red),22,,Capsicum,"162,233",,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Red)
Bell Pepper (Yellow),140,,Capsicum,"162,234",,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Yellow)
Bicarbonate Soda,151,,,256,,,,,,,,Bicarbonate Soda
Black Treacle,148,,,253,,,,,,,,Black Treacle
Blue cheese,14,,,152,,gr,150,200,250,,https://www.ocado.com/search?entry=blue%20cheese,Blue cheese
Bread,15,,brown bread,39,,gr,400,500,800,,https://www.ocado.com/search?entry=bread,Bread
Breadcrumb,16,,,9,,gr,1245,180,200,,https://www.ocado.com/search?entry=breadcrumbs,Breadcrumb
Brown sugar,17,,,"203,143,254",,gr,250,500,1000,,https://www.ocado.com/search?entry=brown%20sugar,"Brown sugar,Brown Sugar"
Butter,18,,,"74,66,57",,gr,125,250,500,,https://www.ocado.com/search?entry=butter,Butter
Butter Lettuce,19,,Letuce,128,,pcs,1,2,3,,https://www.ocado.com/search?entry=lettuce,Butter Lettuce
Camelina Oil,20,,olive oil,167,,ml,250,500,1000,,https://airtable.com/tblaaBfaytHBG9rOR/viwedf0JFRDUKpie2?blocks=hide,Camelina Oil
Canola oil,21,,vegetable oil,138,,ml,250,1000,2000,,https://airtable.com/tblLsvKFNKQM00gMb/viwBSCa6o3alA6dZA?blocks=hide,Canola oil
Carrot,23,,,"212,91,80,250",,gr,300,500,1200,,https://www.ocado.com/search?entry=carrot,Carrot
Cayenne pepper,24,,Chili powder,150,,gr,26,36,100,,https://www.ocado.com/search?entry=cayenne%20pepper,Cayenne pepper
Celery,25,,,81,,pcs,2,3,4,,https://www.ocado.com/search?entry=celery,Celery
Cheddar cheese,119,,,"71,54",,gr,250,350,550,,https://www.ocado.com/search?entry=Cheddar%20cheese,Cheddar cheese
Chicken (whole),143,,,241,,,,,,,,Chicken (whole)
Chicken breast,26,,,161,,gr,320,500,600,,https://www.ocado.com/search?entry=chicken%20breast,Chicken breast
Chicken leg,27,,,76,,gr,500,550,1000,,https://www.ocado.com/search?entry=chicken%20leg,Chicken leg
Chicken Spice,142,,,239,,,,,,,,Chicken Spice
Chicken stock,127,,,218,,gr,300,400,500,,https://www.ocado.com/search?entry=chicken%20stock,Chicken stock
Chicken thigh,28,,,221,,gr,360,500,1000,,https://www.ocado.com/search?entry=chicken%20thigh,Chicken thigh
Chicken wing,29,,,139,,gr,400,500,900,,https://www.ocado.com/search?entry=chicken%20wing,Chicken wing
Chili powder,30,,,"225,144",,gr,26,38,45,,https://www.ocado.com/search?entry=chilli%20powder,Chili powder
Chilli Con Carne Mix,141,,,230,,,,,,,,Chilli Con Carne Mix
Chives,31,,,55,,gr,6,25,100,,https://www.ocado.com/search?entry=Chives,Chives
Chocolate milk,120,,,64,,ml,330,750,1000,,https://www.ocado.com/search?entry=chocolate%20milk,Chocolate milk
Chopped Tomato,155,,,244,,,,,,,,Chopped Tomato
Coral lettuce,116,,Lettuce,165,,pcs,1,2,3,,https://www.ocado.com/search?entry=lettuce,Coral lettuce
Coriander,121,,,124,,gr,28,36,100,,https://www.ocado.com/search?entry=Coriander,Coriander
Corn flour,32,,,170,,gr,250,400,500,,https://www.ocado.com/search?entry=Corn%20flour,Corn flour
Cornstarch,33,,Corn Flour,186,,gr,250,400,500,,https://www.ocado.com/search?entry=Corn%20flour,Cornstarch
Courgette,156,,,248,,,,,,,,Courgette
Cumin,112,,,"146,231",,gr,28,35,41,,https://www.ocado.com/search?entry=cumin,Cumin
Dried basil,34,,,16,,gr,8,10,15,,https://www.ocado.com/search?entry=dried%20basil,Dried basil
Dried mustard,35,,,147,,gr,57,108,,,https://www.ocado.com/search?entry=Dried%20mustard,Dried mustard
Dried oregano,36,,,"151,247",,gr,3,7,13,,https://www.ocado.com/search?entry=Dried%20oregano,Dried oregano
Dried parsley,113,,,182,,gr,6,5,11,,https://www.ocado.com/search?entry=dried%20parsley,Dried parsley
Dried rosemary,114,,,17,,gr,18,23,25,,https://www.ocado.com/search?entry=Dried%20rosemary,Dried rosemary
Dried thyme,37,,,18,,gr,10,11,16,,https://www.ocado.com/search?entry=Dried%20thyme,Dried thyme
Dry sherry,38,,,184,,ml,750,,,,https://www.ocado.com/search?entry=eggs,Dry sherry
Egg,39,,,"202,72,59,40,10,261",,pcs,6,10,12,,https://www.ocado.com/search?entry=eggs,Egg
Egg noodles,40,,,"189,86",,gr,250,275,340,,https://www.ocado.com/search?entry=egg%20noodles,Egg noodles
Egg yolk,41,,egg,73,,pcs,6,10,12,,https://www.ocado.com/search?entry=eggs,Egg yolk
Egg-white,42,,egg,169,,pcs,6,10,12,,https://www.ocado.com/search?entry=eggs,Egg-white
Eggplant,117,,Aubergine,108,,pcs,1,2,3,,https://www.ocado.com/search?entry=aubergine,Eggplant
Feta cheese,43,,,129,,gr,180,200,300,,https://www.ocado.com/search?entry=feta%20cheese,Feta cheese
Flour,44,,,"62,47",,gr,500,1000,1500,,https://www.ocado.com/search?entry=flour,Flour
Fresh ginger,45,,,211,,gr,75,125,140,,https://www.ocado.com/search?entry=fresh%20ginger,Fresh ginger
Fresh thyme,46,,,"213,183",,gr,20,30,,,https://www.ocado.com/search?entry=fresh%20thyme,Fresh thyme
Frozen peas,47,,,"190,119",,gr,380,500,1000,,https://www.ocado.com/search?entry=frozen%20peas,Frozen peas
Garlic,48,clove,,"209,93,38,33,19,2",,pcs,2,3,4,,https://www.ocado.com/search?entry=garlic%20clove,Garlic
Garlic powder,49,,,"200,181,158,148,135,68",,gr,47,52,100,,https://www.ocado.com/search?entry=garlic%20powder,Garlic powder
gluten,135,,,,,,,,,,,
Gluten-free Self Raising Flour,154,,,260,,,,,,,,Gluten-Free Self Raising Flour
Greek yogurt,50,,,153,,gr,170,450,500,,https://www.ocado.com/search?entry=greek%20yogurt,Greek yogurt
Ground beef,51,,,"174,87",,gr,250,400,500,,https://www.ocado.com/search?entry=ground%20beef,Ground beef
Ground Cinnamon,153,,,259,,,,,,,,
Ground dry mustard,52,,Dried mustard,50,,gr,57,108,,,https://www.ocado.com/search?entry=Dried%20mustard,Ground dry mustard
Ground Ginger,152,,,258,,,,,,,,Ground Ginger
Ground pepper,53,,black pepper,"180,15",,gr,25,33,45,,https://www.ocado.com/search?entry=ground%20pepper,Ground pepper
Ground pork,54,,,"89,6",,gr,450,500,850,,https://www.ocado.com/search?entry=ground%20pork,Ground pork
Ground veal,55,,Ground beef,88,,gr,250,400,500,,https://www.ocado.com/search?entry=Ground%20veal,Ground veal
Heavy cream,56,,Double cream,"67,252",,ml,227,300,,,https://www.ocado.com/search?entry=heavy%20cream,Heavy cream
Heavy whipping cream,131,,Double cream,207,,ml,227,300,,,https://www.ocado.com/search?entry=whipping%20cream,Heavy whipping cream
Honey,57,,,228,,gr,227,300,340,,https://www.ocado.com/search?entry=honey,Honey
Hot sauce,58,,,51,,ml,150,220,250,,https://www.ocado.com/search?entry=hot%20sauce,Hot sauce
Japanese Goma Dressing,59,,Goma sauce,106,,ml,150,1000,,,https://www.sushisushi.co.uk/products/mccormick-sesame-goma-dressing-150ml?utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&gclid=CjwKCAjwm4rqBRBUEiwAwaWjjPXb-TM-sQh8dZoMGKpxCmXaB60e7DkEGuaWgvyyRPiHmoC1gxX_0RoCuicQAvD_BwE,Japanese Goma Dressing
Japanese Wafu Dressing,126,,Wadu Dressing,107,,ml,150,,,,https://starrymart.co.uk/mccormick-wafu-yuzu-dressing-150ml.html?ff=2&fp=2114&gclid=CjwKCAjwm4rqBRBUEiwAwaWjjH2R8G9Aoos6CFNv7w-KzPabIMYzUB_TYfPJYYbGZIdhc782Q4aHShoCFFoQAvD_BwE,Japanese Wafu Dressing
Lemon,60,,,200,,pcs,1,2,3,,https://www.ocado.com/search?entry=lemon,Lemon
Lemon juice,61,,,"193,156,44",,ml,200,230,250,,https://www.ocado.com/search?entry=lemon%20juice,Lemon juice
Lettuce,62,,,,,pcs,1,2,3,,https://www.ocado.com/search?entry=lettuce,Lettuce
Lime,63,,,"217,117",,pcs,2,3,4,,https://www.ocado.com/search?entry=lime,Lime
Macaroni,64,,,56,,gr,250,500,1000,,https://www.ocado.com/search?entry=macaroni,Macaroni
Mayonnaise,65,,,154,,ml,250,420,600,,https://www.ocado.com/search?entry=Mayonnaise,Mayonnaise
Milk,124,,,"187,48,255",,ml,568,1000,2000,,https://www.ocado.com/search?entry=milk,Milk
Milk,150,,,,,,,,,,,
Mint,66,,,198,,gr,25,30,100,,https://www.ocado.com/search?entry=mint,Mint
Mozzarella,67,,,"111,36",,gr,125,250,400,,https://www.ocado.com/search?entry=mozarella,Mozzarella
Mushrooms,68,,,"176,236,249",,gr,150,250,300,,https://www.ocado.com/search?entry=mushrooms,Mushrooms
Olive oil,69,tablespoon,,"215,194,130,123,113,94,43,31,20,1",,ml,250,500,750,,https://www.ocado.com/search?entry=Olive%20oil,Olive oil
Onion,70,,,"210,175,163,82",,pcs,2,3,4,,https://www.ocado.com/search?entry=onion,Onion
Onion powder,122,,,"179,149,136",,gr,25,30,42,,https://www.ocado.com/search?entry=Onion%20powder,Onion powder
Oyster sauce,71,,,171,,ml,150,240,510,,https://www.ocado.com/search?entry=oyster%20sauce,Oyster sauce
Pancetta,129,,,27,,gr,95,120,200,,https://www.ocado.com/search?entry=Pancetta,Pancetta
Paprika,72,,,"226,232",,gr,35,40,75,,https://www.ocado.com/search?entry=Paprika,Paprika
Parmiggiano Cheese,73,,Parmesan,"112,30,8",,gr,150,200,250,,https://www.ocado.com/search?entry=Parmiggiano%20Cheese,Parmiggiano Cheese
Parsley,74,,,"42,11",,gr,25,50,100,,https://www.ocado.com/search?entry=parsley,Parsley
Pasta,75,,,26,,gr,400,500,,,https://www.ocado.com/search?entry=Pasta,Pasta
Pastry crust,76,,,201,,gr,117,156,230,,https://www.ocado.com/search?entry=Pastry%20crust,Pastry crust
Pea Sprouts,77,,Pea,104,,gr,380,,,,https://www.ocado.com/search?entry=pea,Pea Sprouts
Pepper,78,teaspoon,black pepper,"223,220,197,173,142,137,126,115,97,84,70,14,5",,pcs,35,40,100,,https://www.ocado.com/search?entry=black%20pepper,Pepper
Porcini mushrooms,79,,,100,,gr,25,30,40,,https://www.ocado.com/search?entry=Porcini%20mushrooms,Porcini mushrooms
Pork shoulder,80,,,208,,gr,340,500,1070,,https://www.ocado.com/search?entry=pork%20shoulder,Pork shoulder
Potato,81,,,65,,gr,600,1000,1500,,https://www.ocado.com/search?entry=potato,Potato
Poultry seasoning,82,,,77,,gr,56,100,,,https://www.ocado.com/products/schwartz-perfect-shake-chicken-seasoning-jar-316629011,Poultry seasoning
Radishes,83,,,121,,gr,150,200,300,,https://www.ocado.com/search?entry=radishes,Radishes
Red Kidney Beans,134,,,235,,,,,,,,Red Kidney Beans
Red Onion,128,,,105,,gr,500,750,1000,,https://www.ocado.com/search?entry=Red%20Onion,Red Onion
Red Pepper flakes,84,,,224,,gr,28,32,75,,https://www.ocado.com/search?entry=Chilli%20Flakes,Red peper flakes
Red potatoes,85,,,"192,133,118",,gr,1000,1500,1500,,https://www.ocado.com/search?entry=red%20potatoes,Red potatoes
Red wine,86,,,"90,242",,ml,750,,,,https://www.ocado.com/search?entry=red%20wine,Red wine
Red wine vinegar,87,,,"131,122,32",,ml,250,350,500,,https://www.ocado.com/search?entry=red%20wine%20vinegar,Red wine vinegar
Ricotta,88,,,7,,gr,150,200,250,,https://www.ocado.com/search?entry=Ricotta,Ricotta
Rosemary,125,,,,,gr,20,25,30,,https://www.ocado.com/search?entry=Rosemary,Rosemary
Salad,89,,,199,,gr,110,125,150,,https://www.ocado.com/search?entry=salad,Salad
Salmon,90,,,"196,116,45",,gr,260,450,500,,https://www.ocado.com/search?entry=salmon,Salmon
Salt,91,teaspoon,,"222,219,177,172,159,141,134,132,125,114,96,83,78,69,49,13,4",,gr,60,100,250,,https://www.ocado.com/search?entry=salt,Salt
Salted Butter,144,,,251,,,,,,,,
Sea salt,123,,Salt,"191,21",,gr,60,100,250,,https://www.ocado.com/search?entry=salt,Sea salt
Seasoning salt,92,,Salt,178,,gr,60,100,250,,https://www.ocado.com/search?entry=salt,Seasoning salt
Shallots,93,,,195,,gr,400,500,1000,,https://www.ocado.com/search?entry=shallots,Shallots
Smokey paprika,94,,Paprika,"145,75",,gr,35,40,75,,https://www.ocado.com/search?entry=Paprika,Smokey paprika
Sour cream,95,,,"188,155,61",,ml,150,200,300,,https://www.ocado.com/search?entry=sour%20cream,Sour cream
Spaghetti,96,,,22,,gr,400,500,,,https://www.ocado.com/search?entry=spaghetti,Spaghetti
Spinach,97,,,23,,gr,125,200,400,,https://www.ocado.com/search?entry=spinach,Spinach
Strawberries,98,,,206,,gr,300,400,500,,https://www.ocado.com/search?entry=strawberries,Strawberries
Sugar,99,,,"99,58",,gr,100,500,1000,,https://www.ocado.com/search?entry=sugar,Sugar
Thyme,100,,Dried thyme,,,gr,10,11,16,,https://www.ocado.com/search?entry=Dried%20thyme,Thyme
Tomato,101,,,"164,109,103,101,35,24,3,238",,gr,200,300,400,,https://www.ocado.com/search?entry=tomato,Tomato
Tomato paste,102,,,102,,gr,100,140,200,,https://www.ocado.com/search?entry=Tomato%20paste,Tomato paste
Tomato Puree,136,,,"237,246",,,,,,,,Tomato Puree
Unsalted butter,103,,Butter,95,,gr,200,250,500,,https://www.ocado.com/search?entry=unsalted%20butter,Unsalted butter
Vanilla,104,,,60,,gr,7,14,,,https://www.ocado.com/search?entry=Vanilla,Vanilla
Vanilla extract,105,,,204,,ml,35,38,95,,https://www.ocado.com/search?entry=Vanilla,Vanilla extract
Vegetable oil,106,,,140,,ml,250,1000,2000,,https://airtable.com/tblLsvKFNKQM00gMb/viwBSCa6o3alA6dZA?blocks=hide,Vegetable oil
Walnuts,115,,,25,,gr,125,200,400,,https://www.ocado.com/search?entry=walnut,Walnuts
Water,118,,,79,,ml,500,1500,2000,,https://www.ocado.com/search?entry=water,Water
White Pepper,107,,,160,,gr,34,42,50,,https://www.ocado.com/search?entry=white%20pepper,White Pepper
White wine,108,,,"214,29",,ml,750,,,,https://www.ocado.com/search?entry=white%20wine,White wine
White wine vinegar,109,,,"216,157",,ml,250,350,500,,https://www.ocado.com/search?entry=White%20wine%20vinegar,White wine vinegar
Wholegrain Mustard,110,,Mustard,166,,gr,140,170,210,,https://www.ocado.com/search?entry=Wholegrain%20Mustard,Wholegrain Mustard
Worcestershire sauce,111,,,"52,12",,ml,150,290,,,https://www.ocado.com/search?entry=Worcestershire%20sauce,Worcestershire sauce
Yellow onion,133,,Onion,92,,pcs,2,3,4,,https://www.ocado.com/search?entry=onion,Yellow onion